engine,trial,batch_id,order,calc_time,cpu_percent,mem_percent
spark,4,0,0,3.199,81.4,68.1
spark,4,1,1,2.47,100.0,68.1
spark,4,2,2,1.529,60.0,68.1
spark,4,3,3,1.474,60.0,68.1
spark,4,4,4,1.408,60.0,68.1
spark,4,5,5,1.402,50.0,68.1
spark,4,6,6,1.436,50.0,68.2
spark,4,7,7,1.402,50.0,68.2
spark,4,8,8,1.562,75.0,68.2
spark,4,9,9,1.515,50.0,68.3
spark,4,10,10,1.343,60.0,68.3
spark,4,11,11,1.488,50.0,68.3
spark,4,12,12,1.522,42.9,68.3
spark,4,13,13,1.58,50.0,68.3
spark,4,14,14,1.443,50.0,68.3
spark,4,15,15,1.458,60.0,68.3
spark,4,16,16,1.513,75.0,68.3
spark,4,17,17,1.504,40.0,68.8
spark,4,18,18,1.504,50.0,68.8
spark,4,19,19,1.399,50.0,68.8
